,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,56.05,79,100,10.02,AU,1635117563
1,Rikitea,-23.1203,-134.9692,74.82,77,38,15.75,PF,1635117726
2,Kudahuvadhoo,2.6708,72.8944,82.4,74,27,15.14,MV,1635117727
3,Thompson,55.7435,-97.8558,32.16,86,75,2.3,CA,1635117728
4,Economy,40.6001,-80.2248,59.77,96,90,1.99,US,1635117730
5,Bambous Virieux,-20.3428,57.7575,74.21,78,40,11.5,MU,1635117731
6,Ushuaia,-54.8,-68.3,33.46,80,75,25.32,AR,1635117733
7,Yellowknife,62.456,-114.3525,42.42,85,75,20.71,CA,1635117448
8,Iqaluit,63.7506,-68.5145,29.93,86,90,5.99,CA,1635117735
9,Shimoda,34.6667,138.95,61.16,63,92,14.92,JP,1635117737
10,Tessalit,20.1986,1.0114,85.32,20,33,9.69,ML,1635117730
11,Nanortalik,60.1432,-45.2371,32.88,98,100,3.83,GL,1635117739
12,Port Elizabeth,-33.918,25.5701,51.1,93,0,3.44,ZA,1635117538
13,Borogontsy,62.6683,131.1683,27.34,98,100,3.27,RU,1635117742
14,Punta Arenas,-53.15,-70.9167,42.91,49,40,24.16,CL,1635117742
15,Qaanaaq,77.484,-69.3632,-5.4,62,0,11.59,GL,1635117745
16,Los Llanos De Aridane,28.6585,-17.9182,67.75,89,90,11.5,ES,1635117746
17,Kapaa,22.0752,-159.319,84.18,73,20,4.0,US,1635117476
18,Mar Del Plata,-38.0023,-57.5575,60.82,51,0,11.5,AR,1635117583
19,Springbok,-29.6643,17.8865,58.96,29,0,9.95,ZA,1635117750
20,Vilyuysk,63.7553,121.6247,30.52,99,100,3.6,RU,1635117751
21,Leningradskiy,69.3833,178.4167,7.68,90,100,6.93,RU,1635117753
22,Khatanga,71.9667,102.5,0.32,89,78,16.26,RU,1635117608
23,Hobart,-42.8794,147.3294,52.05,77,75,3.0,AU,1635117554
24,Mataura,-46.1927,168.8643,62.17,66,97,3.76,NZ,1635117631
25,Port Alfred,-33.5906,26.891,58.5,76,9,11.68,ZA,1635117611
26,Hithadhoo,-0.6,73.0833,82.54,73,72,15.86,MV,1635117759
27,Ostrovnoy,68.0531,39.5131,34.7,70,65,22.59,RU,1635117760
28,Biak,-0.9131,122.8766,79.5,68,71,2.42,ID,1635117696
29,Saint-Philippe,-21.3585,55.7679,72.99,85,48,16.33,RE,1635117640
30,Lompoc,34.6391,-120.4579,70.02,82,90,6.91,US,1635117608
31,Vaini,-21.2,-175.2,78.96,78,20,14.97,TO,1635117765
32,Nikolskoye,59.7035,30.7861,35.02,78,88,7.09,RU,1635117767
33,Acarau,-2.8856,-40.12,80.4,74,7,15.26,BR,1635117768
34,Walvis Bay,-22.9575,14.5053,59.09,88,0,8.05,NA,1635117770
35,Sao Filipe,14.8961,-24.4956,78.1,71,46,11.54,CV,1635117771
36,Jamestown,42.097,-79.2353,51.12,98,90,4.0,US,1635117749
37,Henties Bay,-22.116,14.2845,58.86,89,0,5.12,NA,1635117774
38,Butaritari,3.0707,172.7902,81.55,72,38,3.49,KI,1635117775
39,Ponta Delgada,37.7333,-25.6667,65.12,72,40,5.75,PT,1635117777
40,Boksitogorsk,59.474,33.8485,24.6,87,33,4.38,RU,1635117778
41,Mana,5.6592,-53.7767,78.46,90,99,9.73,GF,1635117779
42,Lebu,-37.6167,-73.65,54.1,90,12,6.91,CL,1635117781
43,Kahului,20.8947,-156.47,85.96,70,40,20.71,US,1635117782
44,Jalu,29.0331,21.5482,73.24,32,17,12.08,LY,1635117784
45,Cape Town,-33.9258,18.4232,58.08,70,0,3.0,ZA,1635117785
46,Hamburg,53.55,10.0,44.02,88,0,5.75,DE,1635117584
47,Macherla,16.4833,79.4333,70.88,77,93,2.13,IN,1635117788
48,Chokurdakh,70.6333,147.9167,-6.75,99,100,2.77,RU,1635117623
49,Swan Hill,-35.3378,143.5544,56.26,40,0,10.27,AU,1635117792
50,Albany,42.6001,-73.9662,52.21,77,95,2.75,US,1635117694
51,Fort Beaufort,-32.7748,26.6338,49.37,88,39,2.64,ZA,1635117794
52,Bluff,-46.6,168.3333,55.4,88,96,5.12,NZ,1635117612
53,Chicama,-7.8447,-79.1469,59.54,73,25,6.89,PE,1635117640
54,Touros,-5.1989,-35.4608,81.5,72,23,14.36,BR,1635117798
55,Arlit,18.7369,7.3853,82.02,12,2,2.21,NE,1635117800
56,Boguchar,49.9358,40.545,40.06,75,67,12.62,RU,1635117801
57,Kaitangata,-46.2817,169.8464,61.54,68,92,4.72,NZ,1635117802
58,Catalina Foothills,32.2979,-110.9187,87.89,23,1,5.01,US,1635117727
59,Puerto Ayora,-0.7393,-90.3518,70.05,87,100,10.33,EC,1635117611
60,Opuwo,-18.0607,13.84,68.02,23,2,8.01,NA,1635117806
61,Skibbereen,51.55,-9.2667,49.8,79,14,16.42,IE,1635117808
62,Madimba,-10.4,40.3333,76.12,91,18,7.31,TZ,1635117809
63,Lorengau,-2.0226,147.2712,82.36,80,71,8.84,PG,1635117810
64,Tiksi,71.6872,128.8694,-0.47,100,100,4.16,RU,1635117646
65,Villazon,-22.0866,-65.5942,46.11,51,64,14.85,BO,1635117814
66,Vila Velha,-20.3297,-40.2925,80.55,78,20,12.66,BR,1635117647
67,Tarbagatay,51.4803,107.3602,24.33,82,42,4.5,RU,1635117818
68,Atuona,-9.8,-139.0333,78.12,73,3,18.32,PF,1635117622
69,Umtata,-31.5889,28.7844,49.17,93,68,3.31,ZA,1635117821
70,Taoudenni,22.6783,-3.9836,86.04,17,10,9.89,ML,1635117822
71,Loandjili,-4.7561,11.8578,78.91,89,20,11.5,CG,1635117823
72,Buraydah,26.326,43.975,72.05,29,0,6.17,SA,1635117825
73,Rawson,-43.3002,-65.1023,70.27,27,100,35.68,AR,1635117826
74,Geraldton,-28.7667,114.6,66.13,82,100,5.75,AU,1635117829
75,Kruisfontein,-34.0033,24.7314,47.88,82,0,3.24,ZA,1635117830
76,Santa Fe,-31.6333,-60.7,72.99,39,0,1.99,AR,1635117678
77,Margate,51.3813,1.3862,58.3,90,95,1.99,GB,1635117833
78,Huejuquilla El Alto,22.6,-103.8667,76.32,31,99,1.66,MX,1635117678
79,Kisangani,0.5167,25.2,70.23,99,100,1.99,CD,1635117835
80,Tomatlan,19.9333,-105.25,86.11,71,89,8.12,MX,1635117626
81,Cidreira,-30.1811,-50.2056,61.77,65,0,5.97,BR,1635117838
82,Dikson,73.5069,80.5464,9.43,89,100,17.69,RU,1635117841
83,Rawa Mazowiecka,51.7644,20.2549,39.7,73,59,7.65,PL,1635117842
84,Okha,53.5739,142.9478,38.97,89,62,11.79,RU,1635117844
85,Newport,51.5877,-2.9984,55.94,90,27,13.29,GB,1635117845
86,Mende,44.6667,3.5,37.51,94,0,2.01,FR,1635117848
87,Ponta Do Sol,32.6667,-17.1,70.72,71,97,6.13,PT,1635117849
88,Peniche,39.3558,-9.3811,61.61,91,21,6.42,PT,1635117648
89,Morondava,-20.2833,44.2833,72.36,61,0,4.79,MG,1635117853
90,Morros,-9.4467,-46.3003,79.18,65,89,2.53,BR,1635117854
91,Abu Dhabi,24.4667,54.3667,78.82,83,0,3.44,AE,1635117854
92,Gurupa,-1.405,-51.64,76.03,88,54,2.84,BR,1635117858
93,Zhenlai,45.8495,123.2973,41.65,43,81,7.9,CN,1635117860
94,Hermanus,-34.4187,19.2345,55.9,76,0,9.51,ZA,1635117861
95,Carnarvon,-24.8667,113.6333,69.87,68,75,14.97,AU,1635117630
96,Zaysan,47.4667,84.8667,35.49,40,3,0.69,KZ,1635117864
97,Saldanha,-33.0117,17.9442,53.65,79,0,14.58,ZA,1635117866
98,Portland,45.5234,-122.6762,58.21,79,75,5.01,US,1635117010
99,Khandbari,27.3747,87.2039,61.65,80,41,2.53,NP,1635117871
100,Bengkulu,-3.8004,102.2655,75.15,89,100,4.63,ID,1635117873
101,Jabalpur,23.167,79.9501,66.58,65,6,1.21,IN,1635117874
102,Barra Do Bugres,-15.0725,-57.1811,71.82,95,100,3.38,BR,1635117876
103,Tahe,52.3333,124.7333,33.58,79,56,3.2,CN,1635117877
104,Alakurtti,66.9672,30.3491,16.63,94,100,0.85,RU,1635117878
105,Hit,33.6416,42.8251,68.99,25,0,8.39,IQ,1635117880
106,Point Fortin,10.1833,-61.6833,80.53,85,100,14.7,TT,1635117881
107,Tamandare,-8.7597,-35.1047,77.49,76,60,9.33,BR,1635117883
108,Emba,48.8264,58.1442,46.63,51,100,7.9,KZ,1635117884
109,Mahebourg,-20.4081,57.7,74.25,78,40,11.5,MU,1635117885
110,Talnakh,69.4865,88.3972,26.31,97,100,6.29,RU,1635117887
111,Zhezkazgan,47.8043,67.7144,43.57,50,78,7.31,KZ,1635117888
112,Vostok,46.4856,135.8833,37.26,64,1,3.91,RU,1635117890
113,Omsukchan,62.5333,155.8,8.87,95,100,7.38,RU,1635117891
114,Umea,63.8284,20.2597,37.9,100,90,2.3,SE,1635117893
115,San Jeronimo,-11.9472,-75.2829,60.17,57,59,8.97,PE,1635117894
116,Severo-Kurilsk,50.6789,156.125,39.15,69,55,18.77,RU,1635117895
117,Chuy,-33.6971,-53.4616,58.64,72,0,7.78,UY,1635117897
118,Norman Wells,65.282,-126.8329,24.84,93,90,4.61,CA,1635117899
119,Turukhansk,65.8167,87.9833,25.75,91,100,15.1,RU,1635117639
120,Grand Gaube,-20.0064,57.6608,74.37,70,92,5.01,MU,1635117902
121,Poum,-20.2333,164.0167,76.03,71,48,10.67,NC,1635117898
122,Taltal,-25.4,-70.4833,61.66,73,23,4.97,CL,1635117684
123,Vanderhoof,54.0166,-124.0198,49.59,60,88,9.22,CA,1635117906
124,Upernavik,72.7868,-56.1549,15.57,67,83,8.19,GL,1635117908
125,Coihaique,-45.5752,-72.0662,48.15,76,90,8.05,CL,1635117714
126,Provideniya,64.3833,-173.3,26.71,59,0,6.71,RU,1635117912
127,Sao Paulo De Olivenca,-3.3783,-68.8725,82.81,68,97,1.25,BR,1635117914
128,Katsuura,35.1333,140.3,62.11,59,54,7.85,JP,1635117916
129,Ornskoldsvik,63.2909,18.7153,34.75,100,90,3.44,SE,1635117917
130,Leshukonskoye,64.8989,45.7622,25.11,90,29,9.06,RU,1635117918
131,Manaure,11.7751,-72.4445,85.77,64,33,20.11,CO,1635117920
132,Keti Bandar,24.1447,67.4497,77.61,61,0,5.79,PK,1635117921
133,Rundu,-17.9333,19.7667,76.12,54,96,4.27,NA,1635117923
134,Port Hardy,50.6996,-127.4199,50.18,87,75,13.8,CA,1635117924
135,Cabo San Lucas,22.8909,-109.9124,90.61,61,20,10.36,MX,1635117925
136,Tuktoyaktuk,69.4541,-133.0374,28.4,100,40,3.44,CA,1635117927
137,Jadu,31.953,12.0261,64.49,70,8,1.83,LY,1635117928
138,Dongsheng,39.8161,109.9776,41.95,44,100,7.52,CN,1635117930
