,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,37.06,81,0,8.05,AR,1634890417
1,busselton,-33.65,115.3333,69.04,50,2,12.5,AU,1634890684
2,mataura,-46.1927,168.8643,49.53,84,94,2.1,NZ,1634890684
3,porto santo,33.072,-16.3415,69.3,73,40,11.5,PT,1634890684
4,petropavlovsk-kamchatskiy,53.0452,158.6483,28.99,64,0,4.47,RU,1634890685
5,lampazos de naranjo,27.0167,-100.5167,73.74,80,55,8.14,MX,1634890685
6,nichinan,31.6,131.3667,67.68,55,97,10.54,JP,1634890686
7,butaritari,3.0707,172.7902,82.15,80,34,13.87,KI,1634890686
8,cap malheureux,-19.9842,57.6142,80.47,68,8,5.99,MU,1634890687
9,bredasdorp,-34.5322,20.0403,70.92,40,0,17.27,ZA,1634890687
10,rikitea,-23.1203,-134.9692,73.83,80,100,23.67,PF,1634890687
11,chokurdakh,70.6333,147.9167,-14.69,100,60,3.15,RU,1634890688
12,te anau,-45.4167,167.7167,50.38,91,94,1.1,NZ,1634890688
13,anchorage,61.2181,-149.9003,38.91,93,90,3.0,US,1634890522
14,clyde river,70.4692,-68.5914,19.18,78,76,4.25,CA,1634890689
15,cabo san lucas,22.8909,-109.9124,77.5,84,0,1.99,MX,1634890478
16,bambous virieux,-20.3428,57.7575,80.22,69,75,17.27,MU,1634890690
17,east london,-33.0153,27.9116,70.74,83,0,1.14,ZA,1634890509
18,atuona,-9.8,-139.0333,78.21,77,55,19.44,PF,1634890690
19,port alfred,-33.5906,26.891,71.38,61,100,13.18,ZA,1634890691
20,qaanaaq,77.484,-69.3632,-2.16,74,0,8.52,GL,1634890691
21,krasnoarmeysk,51.0239,45.6969,58.06,59,100,22.79,RU,1634890691
22,kavieng,-2.5744,150.7967,82.56,71,100,5.39,PG,1634890692
23,maicao,11.3832,-72.2432,78.26,84,49,7.7,CO,1634890692
24,upernavik,72.7868,-56.1549,19.42,90,100,9.33,GL,1634890693
25,khatanga,71.9667,102.5,10.24,92,100,9.48,RU,1634890693
26,punta arenas,-53.15,-70.9167,42.91,65,90,19.57,CL,1634890532
27,anori,-3.7728,-61.6442,73.31,95,99,2.86,BR,1634890694
28,mahebourg,-20.4081,57.7,80.26,69,75,17.27,MU,1634890694
29,vaini,-21.2,-175.2,71.76,94,75,8.05,TO,1634890695
30,hermanus,-34.4187,19.2345,70.81,58,36,26.49,ZA,1634890695
31,puerto ayora,-0.7393,-90.3518,69.19,89,100,8.46,EC,1634890696
32,flin flon,54.7682,-101.865,27.61,85,26,4.07,CA,1634890511
33,arinos,-15.9169,-46.1056,70.07,94,75,3.65,BR,1634890696
34,cape town,-33.9258,18.4232,65.1,57,75,24.16,ZA,1634890697
35,moranbah,-22.0016,148.0466,89.1,35,63,14.5,AU,1634890697
36,oltu,40.5498,42.0013,59.43,26,0,0.38,TR,1634890698
37,atambua,-9.1061,124.8925,83.5,64,92,4.63,ID,1634890698
38,vestmannaeyjar,63.4427,-20.2734,41.99,87,90,18.41,IS,1634890698
39,gat,31.61,34.7642,79.79,32,0,8.34,IL,1634890622
40,colomi,-17.35,-65.8667,52.07,84,53,2.93,BO,1634890699
41,yenagoa,4.9247,6.2642,79.43,85,100,4.07,NG,1634890699
42,meulaboh,4.1363,96.1285,80.06,85,100,6.8,ID,1634890700
43,deer lake,49.1667,-57.4316,31.86,93,1,5.75,CA,1634890700
44,manacapuru,-3.2997,-60.6206,70.38,93,100,4.36,BR,1634890701
45,new norfolk,-42.7826,147.0587,66.65,51,100,1.39,AU,1634890701
46,saldanha,-33.0117,17.9442,62.15,74,100,23.24,ZA,1634890455
47,castro,-24.7911,-50.0119,48.31,93,2,2.77,BR,1634890702
48,dunedin,-45.8742,170.5036,52.81,79,100,11.01,NZ,1634890702
49,victoria,22.2855,114.1577,70.25,75,100,1.99,HK,1634890522
50,aasiaat,68.7098,-52.8699,16.93,97,99,6.73,GL,1634890703
51,grand gaube,-20.0064,57.6608,80.38,68,10,5.99,MU,1634890703
52,geraldton,-28.7667,114.6,72.01,56,0,20.71,AU,1634890704
53,praia da vitoria,38.7333,-27.0667,65.75,88,40,10.13,PT,1634890704
54,narsaq,60.9167,-46.05,32.22,63,100,3.04,GL,1634890704
55,hilo,19.7297,-155.09,72.28,73,1,6.91,US,1634890513
56,aliwal north,-30.6937,26.7114,59.2,68,91,23.26,ZA,1634890705
57,mar del plata,-38.0023,-57.5575,61.09,94,90,1.99,AR,1634890675
58,thompson,55.7435,-97.8558,30.36,93,90,5.75,CA,1634890706
59,mount gambier,-37.8333,140.7667,57.11,88,75,11.5,AU,1634890706
60,mildura,-34.2,142.15,82.36,23,90,10.36,AU,1634890707
61,champerico,14.3,-91.9167,80.35,84,100,5.06,GT,1634890707
62,craig,40.5153,-107.5464,41.54,93,1,0.0,US,1634890707
63,saskylakh,71.9167,114.0833,-5.55,100,96,1.81,RU,1634890708
64,vetrisoaia,46.43,28.2083,67.86,42,74,10.11,RO,1634890708
65,chaykovskaya,58.1279,55.5378,44.49,99,100,9.33,RU,1634890709
66,ostrovnoy,68.0531,39.5131,36.12,70,100,22.64,RU,1634890709
67,moron,-34.6534,-58.6198,66.97,71,80,8.72,AR,1634890583
68,fortuna,40.5982,-124.1573,56.43,76,90,5.01,US,1634890710
69,cherskiy,68.75,161.3,1.08,99,99,4.74,RU,1634890710
70,huilong,31.8111,121.655,67.03,54,76,14.56,CN,1634890710
71,shache,38.4167,77.2406,63.01,16,18,15.12,CN,1634890711
72,jamestown,42.097,-79.2353,53.24,92,90,7.0,US,1634890711
73,nadadores,27.05,-101.6,78.89,78,86,1.39,MX,1634890712
74,pisco,-13.7,-76.2167,59.05,88,0,9.22,PE,1634890712
75,kaitangata,-46.2817,169.8464,48.15,95,57,6.29,NZ,1634890713
76,yabelo,4.8833,38.0833,73.58,40,15,14.5,ET,1634890713
77,albany,42.6001,-73.9662,59.95,91,75,5.06,US,1634890492
78,port blair,11.6667,92.75,84.29,73,100,1.57,IN,1634890714
79,ponta do sol,32.6667,-17.1,70.0,61,40,4.32,PT,1634890714
80,namibe,-15.1961,12.1522,75.54,44,40,5.44,AO,1634890715
81,airai,-8.9266,125.4092,74.3,57,100,2.68,TL,1634890715
82,kimbe,-5.5502,150.1429,77.68,87,100,0.25,PG,1634890715
83,yantal,56.8471,105.2542,45.7,60,70,4.97,RU,1634890716
84,kapaa,22.0752,-159.319,75.52,89,90,11.5,US,1634890716
85,eyl,7.9803,49.8164,85.06,58,40,9.55,SO,1634890717
86,alta floresta,-9.8756,-56.0861,70.27,99,99,3.06,BR,1634890717
87,provideniya,64.3833,-173.3,24.69,75,100,14.03,RU,1634890718
88,qaqortoq,60.7167,-46.0333,32.5,57,100,5.91,GL,1634890718
89,port elizabeth,-33.918,25.5701,66.49,77,20,24.16,ZA,1634890719
90,lata,40.1629,-8.3327,55.81,79,0,4.21,PT,1634890719
91,hobart,-42.8794,147.3294,67.01,69,75,10.36,AU,1634890534
92,yegorlykskaya,46.5656,40.6562,65.05,44,25,15.57,RU,1634890720
93,morro bay,35.3658,-120.8499,62.2,94,100,1.01,US,1634890720
94,saint-philippe,-21.3585,55.7679,81.1,76,42,9.04,RE,1634890720
95,nemuro,43.3236,145.575,43.23,69,96,10.78,JP,1634890721
96,souillac,-20.5167,57.5167,80.37,69,75,17.27,MU,1634890721
97,san pedro de macoris,18.4616,-69.2972,77.49,91,14,5.59,DO,1634890513
98,naze,28.3667,129.4833,68.92,62,100,19.93,JP,1634890722
99,tual,-5.6667,132.75,83.73,70,87,7.7,ID,1634890722
100,norman wells,65.282,-126.8329,33.84,80,75,6.91,CA,1634890723
101,ilulissat,69.2167,-51.1,6.46,83,22,6.6,GL,1634890723
102,hithadhoo,-0.6,73.0833,82.54,72,100,9.26,MV,1634890724
103,montes claros,-16.735,-43.8617,67.78,88,0,2.3,BR,1634890724
104,katobu,-4.9408,122.5276,85.78,64,63,4.07,ID,1634890724
105,magistralnyy,56.1725,107.4458,41.58,82,99,2.75,RU,1634890725
106,codrington,-38.2667,141.9667,56.1,94,96,6.67,AU,1634890725
107,san vicente,-26.6167,-54.1333,54.23,91,0,1.61,AR,1634890726
